_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
68a0ade19b82a8cb33814677,true,49.89,96.15,49.89,74.7,48;0;0;0,words,10,,5,11.54,0,90.1,false,false,hinglish,,normal,false,false,false,,1755360737165
68a0acf89b82a8cb33813e96,,46.13,86.49,46.13,59.92,559;0;0;0,words,100,,5,145.41,0,9.08,false,false,english_1k,,normal,false,false,false,,1755360503220
68a0ac499b82a8cb338138d6,,81.91,95.42,85.97,76.01,121;2;0;0,words,25,,2,17.73,0,21.11,false,false,english,,normal,false,false,false,,1755360290609
689c75284cec7cefb6357deb,,71.69,95.56,71.69,56.29,129;0;0;0,words,25,-1,0,21.59,1,0,false,false,english,,normal,false,false,false,,1755084072000
689c750f4cec7cefb6357d25,,51.31,86.71,56.61,65.56,116;3;0;0,words,25,-1,1,27.13,0,0.78,false,false,english,,normal,false,false,false,,1755084047000
6895806cb62381ed49ae635d,,52.08,89.36,55.12,67.64,120;1;0;0,words,25,-1,1,27.65,0,2.67,false,false,english,,normal,false,false,false,,1754628204000
6895804cb62381ed49ae6248,,60.82,87.77,68.68,72.68,116;6;1;2,words,25,-1,2,22.89,0,6.55,false,false,english,,normal,false,false,false,,1754628172000
6894ec6fb62381ed49aa06a4,,67.95,93.55,67.95,69.57,114;0;0;0,words,25,-1,7,20.13,0,9.84,false,false,english,,normal,false,false,false,,1754590319000
6894ec47b62381ed49aa0526,,65.33,95.68,65.33,69.45,133;0;0;0,words,25,-1,1,24.43,0,5.66,false,false,english,,normal,false,false,false,,1754590279000
689235d120ac094ae83b126e,,54.35,85.91,62.32,57.05,116;5;0;3,words,25,-1,0,25.61,0,0,false,false,english,,normal,false,false,false,,1754412497000
689094a420ac094ae82a939e,,55.17,89.8,56.46,55.9,128;1;0;0,words,25,-1,0,27.84,0,0,false,false,english,,normal,false,false,false,,1754305700000
688f10a920ac094ae81d81ac,,71.06,93.75,71.06,67.3,133;0;0;0,words,25,-1,1,22.46,0,3.78,false,false,english,,normal,false,false,false,,1754206377000
688e5d4720ac094ae81909b9,,57.22,86.3,66.02,66.62,117;4;4;0,words,25,-1,0,24.54,0,0,false,false,english,,normal,false,false,false,,1754160455000
688e5d2d20ac094ae81908df,,57.33,90.07,60.88,54.34,129;2;0;0,words,25,-1,6,27,0,7.07,false,false,english,,normal,false,false,false,,1754160429000
688e5d0420ac094ae8190786,,64.81,90.71,70.03,72.83,124;4;1;0,words,25,-1,1,22.96,0,1.14,false,false,english,,normal,false,false,false,,1754160388000
688e5ce320ac094ae8190669,,51.37,85.19,61.54,54.46,106;8;1;1,words,25,-1,4,24.76,0,8.1,false,false,english,,normal,false,false,false,,1754160355000
688dbe3e20ac094ae8133a59,,71.49,91.8,80.34,73.96,105;3;1;0,words,25,-1,2,17.63,0,17.26,false,false,english,,normal,false,false,false,,1754119742000
688dbcc220ac094ae8132e95,,62.71,96.55,62.71,59.02,139;0;0;0,words,25,-1,0,26.6,1,0,false,false,english,,normal,false,false,false,,1754119362000
688d8d6320ac094ae811b9bb,,48.45,84.47,48.45,59.59,134;0;0;0,words,25,-1,1,33.19,0,0.78,false,false,english,,normal,false,false,false,,1754107235000
688d8d3a20ac094ae811b889,,60.47,89.05,69.49,55.91,114;5;1;0,words,25,-1,1,22.62,2,0.87,false,false,english,,normal,false,false,false,,1754107194000
688bc73020ac094ae803077a,,57.44,83.33,72.84,55.55,97;10;1;0,words,25,-1,0,20.26,0,0,false,false,english,,normal,false,false,false,,1753990960000
688a3145debff78a432cdcfd,,71.14,91.97,73.43,63.34,124;1;0;0,words,25,-1,0,20.92,0,0,false,false,english,,normal,false,false,false,,1753887045000
688a312fdebff78a432cdbec,,58.58,83.1,64.23,53.04,114;5;1;1,words,25,-1,0,23.35,0,0,false,false,english,,normal,false,false,false,,1753887023000
688a3116debff78a432cda8a,,49.91,81.58,59.99,56.49,109;2;6;1,words,25,-1,0,26.21,0,0,false,false,english,,normal,false,false,false,,1753886998000
688a30fadebff78a432cd948,,56.96,86.52,69.27,60.31,111;9;1;0,words,25,-1,1,23.39,0,0.71,false,false,english,,normal,false,false,false,,1753886970000
688a30dadebff78a432cd7b9,,81.01,97.06,81.01,69.85,132;0;0;0,words,25,-1,0,19.55,0,0,false,false,english,,normal,false,false,false,,1753886938000
688a30c5debff78a432cd6a4,,73.44,95.27,76.66,61.18,137;1;0;0,words,25,-1,1,22.39,0,5.01,false,false,english,,normal,false,false,false,,1753886917000
688a1f3edebff78a432bf06f,,62.55,91.23,62.55,58.75,559;0;0;0,words,100,-1,2,107.25,1,43.44,false,false,english,,normal,false,false,false,,1753882430000
6889c2a0debff78a43282453,,62.4,90.99,63.66,69,495;3;1;1,words,100,-1,14,95.19,0,105.35,false,false,english,,normal,false,false,false,,1753858720000
6889c1c1debff78a43281be2,,65.91,94.64,69.79,61.55,51;0;0;1,words,10,-1,1,9.29,0,0.44,false,false,english,,normal,false,false,false,,1753858497000
6889c1b4debff78a43281b6d,,58.68,75.44,79.74,67.61,39;7;2;0,words,10,-1,3,7.98,0,5.72,false,false,english,,normal,false,false,false,,1753858484000
6889c1a1debff78a43281ab4,,71.99,88.52,71.99,57.68,53;0;0;0,words,10,-1,0,8.83,0,0,false,false,english,,normal,false,false,false,,1753858465000
6889c197debff78a43281a41,,64.16,76.47,87.33,87.85,36;4;5;0,words,10,-1,1,6.73,0,0.54,false,false,english,,normal,false,false,false,,1753858455000
6889c18cdebff78a432819ca,,68.88,91.38,78.72,69.89,49;2;0;0,words,10,-1,0,8.54,0,0,false,false,english,,normal,false,false,false,,1753858444000
6889c17cdebff78a4328193b,,67.38,90.57,67.38,46.33,48;0;0;0,words,10,-1,0,8.55,0,0,false,false,english,,normal,false,false,false,,1753858428000
6889c172debff78a432818d6,,69.14,94.44,69.14,74.6,51;0;0;0,words,10,-1,1,8.85,0,1.11,false,false,english,,normal,false,false,false,,1753858418000
6889c166debff78a43281859,,62.18,88.33,66.96,64.73,52;2;0;1,words,10,-1,3,10.04,0,10.69,false,false,english,,normal,false,false,false,,1753858406000
6889c14ddebff78a4328174e,,49.98,81.48,68.04,63.28,36;4;0;0,words,10,-1,2,8.64,0,7.91,false,false,english,,normal,false,false,false,,1753858381000
6889c138debff78a43281671,,69.83,82,86.37,72.22,38;5;0;1,words,10,-1,1,6.53,0,0.68,false,false,english,,normal,false,false,false,,1753858360000
6889c12edebff78a43281616,,68.75,91.53,68.75,59.59,53;0;0;0,words,10,-1,5,9.25,0,5.16,false,false,english,,normal,false,false,false,,1753858350000
6889c11adebff78a43281539,,51.23,77.19,92.54,63.25,31;1;9;0,words,10,-1,7,7.26,0,14.58,false,false,english,,normal,false,false,false,,1753858330000
6889c0fadebff78a432813da,,63.14,84.45,72.73,60.45,224;8;8;0,words,50,-1,4,42.57,0,14.26,false,false,english,,normal,false,false,false,,1753858298000
6889c0bbdebff78a43281163,,64.1,87.8,73.81,67.08,231;7;2;1,words,50,-1,0,43.25,0,0,false,false,english,,normal,false,false,false,,1753858235000
6889c08edebff78a43280fa3,,58.94,93.28,62.85,67.96,241;3;4;0,words,50,-1,5,49.07,0,43.19,false,false,english,,normal,false,false,false,,1753858190000
6888955fdebff78a431ce248,,63.05,86.36,76.65,57.34,102;7;0;1,words,25,-1,0,19.41,0,0,false,false,english,,normal,false,false,false,,1753781599000
68889549debff78a431ce127,,75.2,90.58,78.84,64.91,124;4;0;0,words,25,-1,1,19.79,0,0.81,false,false,english,,normal,false,false,false,,1753781576000
68889532debff78a431ce040,,69.34,92.13,81.77,72.1,106;4;1;0,words,25,-1,2,18.34,0,2.65,false,false,english,,normal,false,false,false,,1753781554000
68889518debff78a431cdf3a,,46.7,80.14,60.89,64.68,102;11;1;1,words,25,-1,0,26.21,0,0,false,false,english,,normal,false,false,false,,1753781528000
6887c1afdebff78a43160da6,,49.76,77.94,74.06,64.98,86;15;1;2,words,25,-1,2,20.74,0,1.75,false,false,english,,normal,false,false,false,,1753727407000
6887c195debff78a43160c8a,,60.74,82.43,80.61,68.57,107;13;2;1,words,25,-1,3,21.14,0,3.79,false,false,english,,normal,false,false,false,,1753727381000
6887c164debff78a43160a96,,58.5,82.01,73.27,58.59,103;10;2;0,words,25,-1,0,21.13,0,0,false,false,english,,normal,false,false,false,,1753727332000
6887c147debff78a43160945,,59.93,81.69,74.49,63.02,107;11;3;0,words,25,-1,1,21.43,0,5.38,false,false,english,,normal,false,false,false,,1753727303000
688710c7debff78a430e2dac,,57.92,83.57,66.71,67.3,112;7;1;1,words,25,-1,0,23.2,0,0,false,false,english,,normal,false,false,false,,1753682119000
688710acdebff78a430e2cbd,,62.8,82.58,81.84,73.23,99;15;0;5,words,25,-1,2,18.92,0,1.82,false,false,english,,normal,false,false,false,,1753682092000
